ContContracts Register -  All live contracts ,,,,,,,,,,,,,,,,,,,,,,,,,,
Ref No,Contract Title,Directorate,Department,Team Name,Classification,Term Contract,OJEU,Awarded,Has ext option,Contract variation,Electronics watch,Serivce type,Budget,Actual cost,Est cost,Cost variance,Duration (months),Extended,Ext post contract,Auth to tender,Framework Agreement,Initial start date,Initial end date,Ext start date,Ext end date,Successful supplier
6642,Email communications measurement platform ,Commissioner,Communications,Internal Communications,ICT / Software,No,No,Yes,No,,,Goods/Service,Expenditure,"£ 29,326","£ 45,000","(£ 15,674)",36,No,No,Budget Holder Approval,,30/11/2020,30/11/2023,,, Bananatag (vendor no: N/A)
6621,London segmentation data,Directorate of Corporate Services,Information and Communications Technology ,Business Intelligence,ICT / Services,No,No,Yes,Yes,,,Goods/Service,Expenditure,"£ 110,500","£ 120,000","(£ 9,500)",36,No,No,Budget Holder Approval,,30/11/2020,30/11/2023,,, CACI Ltd (vendor no: 22176)
6151,"Consultancy support with finance, HR and payroll system procurement",Directorate of Corporate Services,Information and Communications Technology ,ICT Management,Professional Services  / Consultancy,No,No,Yes,No,,,Goods/Service,Expenditure,"£ 149,999","£ 149,999",£ 0,24,No,No,Budget Holder Approval,CCS DOS 4,25/11/2020,24/11/2022,,, Shared Services Connected Limited (SSCL) (vendor no: 22131)
6745,G1 Panasonic mobile tablets,Directorate of Corporate Services,Information and Communications Technology ,ICT Management,ICT / Hardware,No,No,Yes,Yes,,,Goods/Service,Expenditure,"£ 102,000","£ 39,000","£ 63,000",24,Yes,No,Budget Holder Approval,NHS SBS LINK: 2 IT Hardware and Services Framework,25/11/2020,25/11/2022,26/11/2022,25/11/2023, Centerprise (vendor no: 22140)
6733,Hardware refresh ,Directorate of Corporate Services,Information and Communications Technology ,ICT Management,ICT / Hardware,No,No,Yes,Yes,,,Goods/Service,Expenditure,"£ 66,560","£ 50,000","£ 16,560",24,Yes,No,Budget Holder Approval,NHS SBS LINK: 2 IT Hardware and Services Framework,25/11/2020,25/11/2022,26/11/2022,25/11/2023, Centerprise (vendor no: 22140)
6746,New ESN Mobile Data Terminal devices,Directorate of Corporate Services,Information and Communications Technology ,ICT Management,ICT / Hardware,No,No,Yes,Yes,,,Goods/Service,Expenditure,"£ 140,042","£ 140,042",£ 0,24,Yes,No,Budget Holder Approval,NHS SBS LINK: 2 IT Hardware and Services Framework,25/11/2020,25/11/2022,26/11/2022,25/11/2023, Centerprise (vendor no: 22140)
6707,LFB Smart Numbers,Directorate of Corporate Services,Information and Communications Technology ,ICT Management,ICT / Communication,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£ 105,300","£ 105,300",£ 0,36,No,No,Head of Procurement approval for single tender action,,12/11/2020,31/07/2024,,, BT Global Services (vendor no: 11033)
6131,Asbestos Management ,Directorate of Corporate Services,Property and TSS,Property Technical Assurance,Construction and FM / Technical Services,Yes,Yes,Yes,Yes,,,Goods/Service,Expenditure,"£ 304,281","£ 648,000","(£ 343,719)",36,No,No,,,02/11/2020,02/11/2023,,, Tersus Consultancy Limited (vendor no: N/A)
6718,Cyborg Managed Services Agreement,Directorate of Corporate Services,Information and Communications Technology ,ICT Management,ICT / Services,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£ 144,000","£ 144,000",£ 0,36,No,No,Head of Procurement approval for single tender action,,31/10/2020,30/10/2023,,, SumTotal Systems UK Limited (vendor no: 13368)
6669,Compliance and Audit - Tetratech (formally WYG),Directorate of Corporate Services,Property and TSS,Property Technical Assurance,Construction and FM / Technical Services,Yes,Yes,Yes,Yes,,,Goods/Service,Expenditure,"£ 1,110,248","£ 1,070,000","£ 40,248",36,No,No,,,26/10/2020,25/10/2023,,, WYG Management Services Limited (vendor no: N/A)
6668,Cloud Broker,Directorate of Corporate Services,Information and Communications Technology ,ICT Management,ICT / Services,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£ 147,230","£ 147,230",£ 0,48,No,No,Delegated Authority,G - Cloud - ,23/10/2020,22/10/2024,,, Intuitive Systems & Networks Ltd (ISN) - Vendor Number 18395 (vendor no: 18395)
6674,Soft FM Services,Directorate of Corporate Services,Property and TSS,Property FM & Minor Projects,Construction and FM / Building Operations,No,No,Yes,Yes,,,Goods/Service,Expenditure,"£ 12,714,937","£ 13,200,000","(£ 485,063)",36,No,No,Committee Decision,CCS Soft Services,07/10/2020,06/10/2023,,, Mitie-Interserve (Facilities Management) Ltd (vendor no: N/A)
6711,SHL Performance and Talent ,People Directorate,People Services,Recruitment & Resourcing,Professional Services  / Consultancy,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£ 77,659","£ 80,000","(£ 2,341)",6,No,No,Budget Holder Approval,CCS G-Cloud 11,14/09/2020,14/03/2021,,, SHL Group Ltd (vendor no: N/A)
6508,Supply and Maintenance of Gym Equipment ,Directorate of Corporate Services,Property and TSS,Property FM & Minor Projects,"Construction and FM / Office Furniture, Fixtures and Fittings",Yes,No,Yes,Yes,,,Goods/Service,Expenditure,"£ 423,000","£ 430,000","(£ 7,000)",36,No,No,Committee Decision,MOPAC,01/09/2020,01/09/2023,,, Sportsafe UK Ltd (vendor no: N/A)
6708,Airbus Appliance Software bundle,Directorate of Corporate Services,Information and Communications Technology ,ICT Management,ICT / Software,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£ 740,855","£ 1,175,575","(£ 434,720)",60,No,No,Committee Decision,CCS Data and Application Solutions Framework,03/08/2020,02/08/2025,,, Airbus Defence and Space Limited (vendor no: 17888)
6366,LFB Museum Project Design Team,Commissioner,Communications,Stakeholder Engagement ,Professional Services  / Business and Commercial Services,Yes,No,Yes,Yes,,,Goods/Service,Expenditure,"£ 171,282","£ 135,000","£ 36,282",12,No,No,Budget Holder Approval,,06/07/2020,30/06/2024,,, Cragg Management Services Ltd (vendor no: N/A)
6405,Provision of Wide Area Network (WAN) Metropolitan Area Network (MAN)  and Internet Service Facilities (ISP),Directorate of Corporate Services,Information and Communications Technology ,ICT Management,ICT / Services,Yes,No,Yes,No,Yes,,Goods/Service,Expenditure,"£ 5,086,000","£ 12,000,000","(£ 6,914,000)",60,No,No,Budget Holder Approval,Pan London ICT Framework,01/07/2020,30/06/2025,,, BT Global Services (vendor no: 11033)
6470,Website development,Directorate of Corporate Services,Information and Communications Technology ,ICT Management,ICT / Services,Yes,No,Yes,Yes,,,Goods/Service,Expenditure,"£ 145,000","£ 145,000",£ 0,24,Yes,No,Budget Holder Approval,CCS - G Cloud 11 ,11/06/2020,10/06/2022,11/06/2022,10/06/2023, E3 Media Ltd t/a Great State (vendor no: 20896)
6430,Provision of Visual and Audible Warning Equipment - Cars,Directorate of Corporate Services,Procurement and Commercial,Vehicle Administration,Fleet  / Vehicle Hire and Lease,Yes,No,Yes,Yes,,,Goods/Service,Expenditure,"£ 60,000","£ 60,000",£ 0,36,Yes,No,Delegated Authority,,08/06/2020,08/06/2023,08/06/2023,07/06/2024, Redtronic (vendor no: N/A)
6174,LFB Website Managed Support Service,Directorate of Corporate Services,Information and Communications Technology ,ICT Management,ICT / Services,Yes,No,Yes,Yes,,,Goods/Service,Expenditure,"£ 116,220","£ 120,000","(£ 3,780)",24,Yes,No,Budget Holder Approval,CCS - G Cloud,03/06/2020,03/06/2022,04/06/2022,03/06/2023, E3 Media Ltd t/a Great State (vendor no: 20896)
6666,Aztec Application Support,Directorate of Corporate Services,Information and Communications Technology ,ICT Management,ICT / Services,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£ 53,625","£ 53,625",£ 0,12,No,No,Budget Holder Approval,,01/04/2020,31/03/2021,,, Aztec Computing (vendor no: 8741)
6454,Btec Level 7 Expert Witness,"Directorate for Prevention, Protection and Operational Policy",Prevention and Protection,FSR Learning,Professional Services  / Development and Training,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£ 120,000","£ 120,000",£ 0,48,No,No,Delegated Authority,,01/04/2020,01/04/2024,,, Legal Experience Training Ltd (vendor no: N/A)
6420,Pan-LEP Energy Procurement and Contract Management Programme 2020-2024,Directorate of Corporate Services,Property and TSS,Property Technical Assurance,Construction and FM / Energy,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£ 1,500,000",£ 10,"£ 1,499,990",48,No,No,Budget Holder Approval,LASER Energy ,01/04/2020,01/04/2024,,, Corona and NPower (vendor no: N/A)
6363,Scientific Services,Directorate of Corporate Services,Procurement and Commercial,Categories & Performance,Professional Services  / Consultancy,Yes,Yes,Yes,No,,,Goods/Service,Expenditure,"£ 6,955,000","£ 6,000,000","£ 955,000",60,No,No,,,01/04/2020,01/04/2025,,, Bureau Veritas (vendor no: N/A)
6623,Verbal and Numerical Reasoning Tests,People Directorate,People Services,Recruitment & Resourcing,Professional Services  / HR Services,No,No,Yes,No,Yes,,Goods/Service,Expenditure,"£ 127,881","£ 40,000","£ 87,881",36,No,No,,,01/04/2020,01/04/2023,,, SHL Group Ltd (vendor no: 5388)
6648,USAR Petzl Pixa Headlamp and Accessories - Catalogue Compliance,Directorate of Corporate Services,Procurement and Commercial,Rescue & ISAR Policy,Operational Equipment / Emergency and Rescue Equipment and Supplies,No,No,Yes,No,,,Goods/Service,Expenditure,"£ 3,301","£ 3,301",£ 0,12,No,No,Delegated Authority,,25/03/2020,01/01/2023,,, Lyon Equipment Ltd (vendor no: 15979)
6506,Wireless Infrastructure Upgrade,Directorate of Corporate Services,Information and Communications Technology ,ICT Management,ICT / Hardware,No,No,Yes,No,,,Goods/Service,Expenditure,"£ 392,194","£ 400,000","(£ 7,806)",36,No,No,Budget Holder Approval,,19/03/2020,19/03/2023,,, BT Global Services (vendor no: 11033)
5926,Performance Management Framework,Directorate of Transformation,Strategy and Risk,Strategy Risk and Engagement,ICT / Software,Yes,Yes,Yes,Yes,Yes,,Goods/Service,Expenditure,"£ 238,548","£ 215,000","£ 23,548",60,No,No,Delegated Authority,,11/03/2020,10/03/2025,,, InPhase Limited  (vendor no: N/A)
6330,Cleaning Consumables,Directorate for Preparedness and Response,Fire Stations,Fire Stations & Area Team Management,Construction and FM / Domestic Goods,Yes,Yes,Yes,No,,,Goods/Service,Expenditure,"£ 320,000","£ 610,000","(£ 290,000)",48,No,No,,,02/03/2020,02/03/2024,,, Banner Group Ltd (vendor no: N/A)
6616,Smoke Fluid - Catalogue Compliance,Directorate of Corporate Services,Procurement and Commercial,Leavers,Operational Equipment / Emergency and Rescue Equipment and Supplies,No,No,Yes,No,,,Goods/Service,Expenditure,"£ 10,400","£ 10,400",£ 0,48,No,No,,,02/03/2020,02/03/2024,,,
6646,Thomson Reuters - Practical Law and Westlaw,Directorate of Corporate Services,General Counsel,Departmental Management & Business Support,Professional Services  / Legal,No,No,Yes,No,,,Goods/Service,Expenditure,"£ 49,919","£ 49,919",£ 0,36,No,No,Budget Holder Approval,,01/03/2020,01/03/2023,,," . (vendor no: N/A), Thomson Reuters (Professional) UK Limited - Legal Business (Company No. 1679046). Five Canada Square, Canary Wharf, London E14 5AQ. (vendor no: N/A)"
6490,Electrical Components and Associated Hardware,"Directorate for Prevention, Protection and Operational Policy",Prevention and Protection,Categories & Performance,Office Solutions / Office Supplies,Yes,No,Yes,No,,,Goods/Service,Expenditure,£ 196,"£ 27,000","(£ 26,804)",12,No,No,Delegated Authority,,25/02/2020,24/02/2021,,, RS Components Ltd (vendor no: N/A)
6496,Sand and Rock Salt,Directorate for Preparedness and Response,Fire Stations,FLEET,Operational Equipment / Environmental Goods,Yes,No,Yes,Yes,,,Goods/Service,Expenditure,"£ 31,000","£ 31,000",£ 0,12,Yes,Yes,,,21/02/2020,21/02/2021,01/01/2022,01/01/2023, Homepack Ltd (vendor no: 12545)
6298,Wireless Access Points,Directorate of Corporate Services,Information and Communications Technology ,ICT Management,ICT / Hardware,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£ 452,748","£ 835,000","(£ 382,252)",36,No,No,Budget Holder Approval,HTE Framework and Pan London Framework,18/02/2020,17/02/2023,,, BT Global Services (vendor no: 11033)
6637,Edwardes Bros Kitchen Appliances for Catalogue Compliance ,Directorate for Preparedness and Response,Fire Stations,Fire Stations & Area Team Management,Construction and FM / Domestic Goods,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£ 1,500","£ 1,500",£ 0,12,No,No,Delegated Authority,,07/02/2020,07/02/2021,,, Edwardes Bros (Dulwich) Ltd (vendor no: N/A)
6475,Supply of (reconditioned) Hydrostatic Hose Testing Rig,Directorate of Corporate Services,Property and TSS,Operations Support Group,Operational Equipment / Emergency and Rescue Equipment and Supplies,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£ 95,000","£ 65,000","£ 30,000",60,No,No,,,03/02/2020,02/02/2025,,, Premier Hose Technologies (vendor no: N/A)
6591, Firefighters' Pensions: Board of Medical Referees,People Directorate,People Services,"Wellbeing, Health & Fitness   ",Professional Services  / Staff Medical Care,No,No,Yes,No,,,Goods/Service,Expenditure,"£ 80,000","£ 80,000",£ 0,33,No,No,Budget Holder Approval,,31/01/2020,23/09/2022,,, Duradiamond Healthcare ltd (vendor no: N/A)
6504,Radio Parts (Entel Ltd),Directorate of Corporate Services,Information and Communications Technology ,Categories & Performance,ICT / Services,No,No,Yes,No,,,Goods/Service,Expenditure,"£ 42,000","£ 42,000",£ 0,12,No,No,Delegated Authority,,31/01/2020,31/01/2021,,, Entel (vendor no: 16709)
6511,Metropolitan Area Network Data Circuits Upgrade,Directorate of Corporate Services,Information and Communications Technology ,ICT Management,ICT / Hardware,No,No,Yes,No,,,Goods/Service,Expenditure,"£ 144,839","£ 145,000",(£ 161),60,No,No,Budget Holder Approval,,24/01/2020,23/01/2025,,, BT Global Services (vendor no: 11033)
6474,Lone worker protection service,"Directorate for Prevention, Protection and Operational Policy",Prevention and Protection,FSR Policy Team,Professional Services  / Staff Health and Safety,Yes,No,Yes,Yes,,,Goods/Service,Expenditure,"£ 39,600","£ 20,000","£ 19,600",36,Yes,No,Delegated Authority,,03/01/2020,03/01/2023,03/01/2023,02/01/2024, Skyguard Limited (vendor no: 19637)
6465,Supply of Diesel for Strategic Reserve Storage Tanks,Directorate for Preparedness and Response,Fire Stations,Fire Stations & Area Team Management,Fleet  / Fuel,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£ 1,000,000","£ 1,000,000",£ 0,24,No,No,,RM3801 National Fuels Framework,03/01/2020,01/04/2024,,, Certas Energy UK Ltd (vendor no: 18120)
6466,Supply of Marine Fuel ,Directorate for Preparedness and Response,Fire Stations,Fire Stations & Area Team Management,Fleet  / Fuel,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£ 20,000","£ 20,000",£ 0,24,No,No,,,02/01/2020,02/01/2022,,, Thames Marine Services Ltd (vendor no: N/A)
6479,Social media management and monitoring tool,Commissioner,Communications,Internal Communications,ICT / Software,Yes,No,Yes,Yes,,,Goods/Service,Expenditure,"£ 28,352","£ 20,000","£ 8,352",24,Yes,No,Budget Holder Approval,,15/12/2019,15/12/2021,16/12/2022,15/12/2023, Orlo (vendor no: 21957)
6577,Visual Intelligence Gathering Solution,Directorate of Corporate Services,Information and Communications Technology ,System Support & Improvement,ICT / Software,Yes,No,Yes,Yes,Yes,,Goods/Service,Expenditure,"£ 60,600","£ 127,260","(£ 66,660)",48,Yes,No,Budget Holder Approval,,02/12/2019,01/12/2021,02/12/2021,01/12/2023, Capita 999eye (vendor no: 9074)
6534,Binding Strips * Catalogue Compliance *,Directorate of Corporate Services,Procurement and Commercial,Agency Leavers,Office Solutions / Printing Supplies,Yes,No,Yes,Yes,,,Goods/Service,Expenditure,"£ 1,600","£ 1,600",£ 0,12,Yes,Yes,Delegated Authority,,29/11/2019,29/11/2020,08/10/2021,07/10/2022, Infigo Ltd (vendor no: 2440)
6572,Paper Rolls for Station Printers and Mobile Data Terminals ,Directorate for Preparedness and Response,Fire Stations,Categories & Performance,Office Solutions / Printing Supplies,Yes,No,Yes,Yes,,,Goods/Service,Expenditure,"£ 10,000","£ 10,000",£ 0,12,Yes,Yes,Delegated Authority,,26/11/2019,26/11/2020,27/11/2020,23/12/2022, Premier Vanguard (vendor no: N/A)
6493,Health & Safety Tape (Signage) - Catalogue Compliance,Directorate of Corporate Services,Procurement and Commercial,Categories & Performance,Operational Equipment / Emergency and Rescue Equipment and Supplies,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£ 8,000","£ 8,000",£ 0,12,No,No,Delegated Authority,,14/11/2019,14/11/2022,,, UK Tapes Ltd (vendor no: N/A)
6645,LexisLibrary,Directorate of Corporate Services,General Counsel,Departmental Management & Business Support,Professional Services  / Business and Commercial Services,No,No,Yes,No,,,Goods/Service,Expenditure,"£ 24,727","£ 24,727",£ 0,36,No,No,Budget Holder Approval,,01/11/2019,01/11/2022,,," LexisNexis, Lexis House, 30 Farringdon St, Holborn, London EC4A 4HH (vendor no: N/A)"
6556,"Online library for regulatory standards, guidance and legislation",Directorate of Corporate Services,Information and Communications Technology ,ICT Management,ICT / Software,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£ 57,096","£ 70,000","(£ 12,904)",60,No,No,Budget Holder Approval,,01/11/2019,31/10/2024,,, Barbour UBM (vendor no: 19137)
6500,Replacement Radio Covers (Orbison),Directorate of Corporate Services,Procurement and Commercial,Categories & Performance,ICT / Services,No,No,Yes,No,,,Goods/Service,Expenditure,"£ 5,130","£ 21,300","(£ 16,170)",12,No,No,Delegated Authority,,15/10/2019,15/10/2020,,, Orbison Ltd (vendor no: 4744)
6581,Cadet Uniform,"Directorate for Prevention, Protection and Operational Policy",Prevention and Protection,YOUTH MANAGEMENT,Clothing and PPE / Clothing and Textiles,No,No,Yes,No,,,Goods/Service,Expenditure,"£ 21,349","£ 21,349",£ 0,9,No,No,Delegated Authority,,01/10/2019,30/06/2021,,, Dealership Services Ltd (vendor no: N/A)
6548,Ceremonial Medal Ribbons - Catalogue Compliance,Directorate for Preparedness and Response,Fire Stations,Categories & Performance,Clothing and PPE / Clothing and Textiles,No,No,Yes,Yes,,,Goods/Service,Expenditure,"£ 1,286","£ 1,286",£ 0,12,Yes,Yes,,,01/10/2019,29/02/2020,29/02/2020,01/01/2023, Worcestershire Medal Service Ltd (vendor no: 19504)
6116,Childcare Vouchers,People Directorate,People Services,Employee Advice & Insights,Professional Services  / HR Services,Yes,No,Yes,Yes,,,Goods/Service,Income,"£ 6,000","£ 6,000",£ 0,48,Yes,No,Delegated Authority,CCS Employee Services RM3704,01/10/2019,30/09/2022,30/09/2022,30/09/2023, EDENRED (UK GROUP) LIMITED (vendor no: N/A)
6184,Hardware Support and Maintenance Services - Break Fix,Directorate of Corporate Services,Information and Communications Technology ,ICT Management,ICT / Services,Yes,Yes,Yes,Yes,,,Goods/Service,Expenditure,"£ 800,000","£ 1,737,870","(£ 937,870)",48,Yes,No,Budget Holder Approval,,01/10/2019,30/09/2023,01/10/2023,30/09/2024, Specialist Computer Centres (SCC) (vendor no: 11543)
6438,Freelance in-house graphic design support,Commissioner,Communications,External Communications,Professional Services  / Contingent Labour,Yes,No,Yes,Yes,,,Goods/Service,Expenditure,"£ 50,000","£ 50,000",£ 0,36,Yes,No,Budget Holder Approval,,01/09/2019,01/09/2022,01/09/2022,31/08/2023, Karina Beasley Ltd t/a Gabriele (vendor no: N/A)
6205,SUPPORT Plan - Apple devices,Directorate of Corporate Services,Information and Communications Technology ,ICT Management,ICT / Services,Yes,No,Yes,Yes,Yes,,Goods/Service,Expenditure,"£ 6,996","£ 9,019","(£ 2,023)",12,Yes,Yes,Budget Holder Approval,,01/09/2019,31/08/2020,01/03/2023,31/08/2023, Support Plan (UK) Ltd (vendor no: 16144)
6374,Citrix Netscaler,Directorate of Corporate Services,Information and Communications Technology ,ICT Management,ICT / Hardware,No,No,Yes,No,,,Goods/Service,Expenditure,"£ 73,471","£ 70,000","£ 3,471",36,No,No,Budget Holder Approval,CCS Network Services and Pan London ICT Framework,01/08/2019,31/07/2022,,, BT Global Services (vendor no: 11033)
6391,Fire Safety Design & Management in Healthcare Premises,People Directorate,Training and Professional Development,FSR Learning,Professional Services  / Learning,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£ 23,755","£ 12,000","£ 11,755",36,No,No,Delegated Authority,,29/07/2019,28/07/2022,,, Xact Consultancy and Training Limited (vendor no: 19399)
6020,Travel Management,Directorate of Corporate Services,Procurement and Commercial,Procurement Business Systems & Analytics,Professional Services  / Business Travel,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£ 960,000","£ 720,000","£ 240,000",48,No,No,Committee Decision,NHS Framework Agreement SBS/16/SB/ZXS/8929,19/07/2019,19/07/2023,,, Corporate Travel Management (vendor no: N/A)
6148,Cyber Defence System,Directorate of Corporate Services,Information and Communications Technology ,ICT Management,ICT / Services,Yes,No,Yes,Yes,Yes,,Goods/Service,Expenditure,"£ 212,000","£ 252,000","(£ 40,000)",24,Yes,No,Budget Holder Approval,RM 3733 & Pan London ICT Framework,18/07/2019,17/07/2021,18/07/2021,17/07/2023, BT Global Services (vendor no: 11033)
6262,Narrow Aisle Forklift (Electric),Directorate of Corporate Services,Property and TSS,Operations Support Group,Fleet  / Purchase,No,No,Yes,No,,,Goods/Service,Expenditure,"£ 42,564","£ 37,000","£ 5,564",84,No,No,,,24/06/2019,23/06/2026,,, Narrow Aisle Limited (vendor no: N/A)
6283,Fire Safety Qualifications,People Directorate,Training and Professional Development,FSR Learning,Professional Services  / Development and Training,Yes,No,Yes,Yes,,,Goods/Service,Expenditure,"£ 533,928","£ 469,168","£ 64,760",60,No,No,Delegated Authority,,21/06/2019,21/06/2024,,, Xact Training and Consultancy Ltd (vendor no: N/A)
6021,Provision of printing services,Commissioner,Communications,External Communications,Office Solutions / Printing Services,Yes,No,Yes,Yes,,,Goods/Service,Expenditure,"£ 200,000","£ 200,000",£ 0,48,Yes,Yes,Budget Holder Approval,CCS Managed Print & Digital Solutions RM3785,13/05/2019,13/05/2023,18/05/2023,15/02/2024, CDS Ltd (vendor no: N/A)
6502,Radio Batteries and Accessories (Radiocom Systems Ltd),Directorate of Corporate Services,Information and Communications Technology ,ICT Management,ICT / Services,No,No,Yes,Yes,,,Goods/Service,Expenditure,"£ 67,486","£ 67,486",£ 0,12,Yes,Yes,Delegated Authority,,09/05/2019,09/05/2020,11/09/2020,10/09/2021, Radicom Systems Ltd (vendor no: 10961)
6422,Mental Health First Aid Training,People Directorate,People Services,"Wellbeing, Health & Fitness   ",Professional Services  / Development and Training,Yes,No,Yes,Yes,,,Goods/Service,Expenditure,"£ 60,000","£ 60,000",£ 0,3,Yes,No,Budget Holder Approval,,01/05/2019,30/04/2022,01/05/2022,30/04/2023, MHFA England (vendor no: N/A)
6392,Provision of anti-entanglement Breathing Apparatus cylinder covers,Directorate of Corporate Services,Property and TSS,Operations Support Group,Operational Equipment / Emergency and Rescue Equipment and Supplies,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£ 50,000","£ 50,000",£ 0,60,No,No,,,01/05/2019,01/05/2024,,, Ulster Supported Employment (USEL) Ltd (vendor no: N/A)
6290,Fire Station Fridges/Freezers,Directorate for Preparedness and Response,Fire Stations,Fire Stations & Area Team Management,Construction and FM / Domestic Goods,Yes,No,Yes,Yes,,,Goods/Service,Expenditure,"£ 140,000","£ 140,000",£ 0,48,No,No,Budget Holder Approval,ESPO Framework for Supply of Domestic Electrical Appliances,30/04/2019,27/11/2022,,, ESPO (vendor no: Not Listed on POMS)
6608,Banking Services,Directorate of Corporate Services,Finance,Budget,Professional Services  / Financial,Yes,No,Yes,Yes,,,Goods/Service,Expenditure,"£ 35,000","£ 35,000",£ 0,36,Yes,No,Delegated Authority,,01/04/2019,31/03/2022,01/04/2022,31/03/2024, Royal Bank of Scotland/ Natwest (vendor no: N/A)
6165,Information Services,Directorate of Corporate Services,Information and Communications Technology ,Business Intelligence,Professional Services  / Business Support,Yes,Yes,Yes,Yes,Yes,,Goods/Service,Expenditure,"£ 724,440","£ 600,000","£ 124,440",48,Yes,No,Budget Holder Approval,,01/04/2019,31/03/2023,01/04/2023,31/03/2025, Idox Software Ltd (vendor no: 19756)
6130,Inspection of Fleet Vehicles,Directorate of Corporate Services,Property and TSS,FLEET,Fleet  / Fleet Management,Yes,No,Yes,Yes,,,Goods/Service,Expenditure,"£ 149,800","£ 160,000","(£ 10,200)",36,Yes,No,,,01/04/2019,31/03/2022,01/04/2022,01/04/2023, Applus Car Testing Services Ltd (vendor no: 19343)
6332,Fire Investigation Basic Pratical Course,People Directorate,Training and Professional Development,FSR Learning,Professional Services  / Learning,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£ 25,000","£ 10,000","£ 15,000",48,No,No,Delegated Authority,,11/03/2019,11/03/2023,,, Gardiners Associates (vendor no: 18847)
6250,Fuel Cards and Associated Services ,Directorate for Preparedness and Response,Fire Stations,Fire Stations & Area Team Management,Fleet  / Fuel,Yes,Yes,Yes,Yes,,,Goods/Service,Expenditure,"£ 2,000,000","£ 2,000,000",£ 0,48,Yes,No,,Fuel Cards and Associated Services CCS RM6000,04/03/2019,22/03/2021,31/03/2023,22/03/2024, Allstar Business Solutions Ltd (vendor no: N/A)
6118,De-polluted vehicles for training,Directorate for Preparedness and Response,Fire Stations,Central Operations Team,Operational Equipment / Emergency and Rescue Equipment and Supplies,Yes,Yes,Yes,Yes,,,Goods/Service,Expenditure,"£ 540,995","£ 540,995",£ 0,48,No,No,,,01/02/2019,31/07/2023,,, ACE Vehicle Services Limited (vendor no: 21464)
6284,Portable Hygiene Unit Provision,"Directorate for Prevention, Protection and Operational Policy",Operational Policy,Training Operations,Fleet  / Purchase,Yes,Yes,Yes,Yes,,,Goods/Service,Expenditure,"£ 300,000","£ 300,000",£ 0,36,No,No,,,01/02/2019,11/04/2023,,, Site-Equip Limited (vendor no: N/A)
6291,BTEC Level 7 Advanced Professional Certificate in Investigative Practice (APCIP),People Directorate,Training and Professional Development,FSR Learning,Professional Services  / Development and Training,Yes,No,Yes,Yes,,,Goods/Service,Expenditure,"£ 74,000","£ 74,000",£ 0,39,Yes,Yes,Delegated Authority,,21/01/2019,20/01/2021,20/01/2021,19/01/2023, Bond Solon (vendor no: 15343)
6350,Liquid Tight Suits (LTS) Chemical Protective Clothing Respirex,"Directorate for Prevention, Protection and Operational Policy",Operational Policy,Hazmat Policy,Clothing and PPE / Clothing and Textiles,No,No,Yes,No,,,Goods/Service,Expenditure,"£ 80,000","£ 80,000",£ 0,60,No,No,,,21/01/2019,21/01/2024,,, Respirex International Limited (vendor no: 5179)
6325,Laundry & Dry Cleaning,Directorate for Preparedness and Response,Fire Stations,Fire Stations & Area Team Management,Clothing and PPE / Clothing and Textiles,Yes,Yes,Yes,Yes,,,Goods/Service,Expenditure,"£ 380,000","£ 380,000",£ 0,48,Yes,Yes,,CCS Framework,01/01/2019,01/01/2023,01/01/2023,01/07/2023, Berendsen UK Ltd (vendor no: N/A)
6170,Business Name Dataset Compatible with AddressBase Premium,Directorate of Corporate Services,Information and Communications Technology ,ICT Management,ICT / Services,Yes,No,Yes,Yes,,,Goods/Service,Expenditure,"£ 43,000","£ 43,000",£ 0,36,Yes,No,Budget Holder Approval,,26/11/2018,25/11/2021,26/11/2021,25/11/2022, Aligned Assets Ltd (vendor no: 17993)
6323,Provision of Velcro Patches for PPE,Commissioner,Communications,External Communications,Clothing and PPE / Clothing and Textiles,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£ 9,900","£ 20,000","(£ 10,100)",96,No,No,,,19/11/2018,19/11/2026,,, Stitch Tech Ltd (vendor no: 18305)
