ContContracts Register -  All live contracts ,,,,,,,,,,,,,,,,,,,,,,,,,,
Ref No,Contract Title,Directorate,Department,Team Name,Classification,Term Contract,OJEU,Awarded,Has ext option,Contract variation,Electronics watch,Serivce type,Budget,Actual cost,Est cost,Cost variance,Duration (months),Extended,Ext post contract,Auth to tender,Framework Agreement,Initial start date,Initial end date,Ext start date,Ext end date,Successful supplier
7005,"Stanmore fire station, Privacy for All works  ",Directorate of Corporate Services,Property and TSS,Property Access & Workplace,Construction and FM / Property Occupation,No,No,Yes,No,,,Works,Expenditure,"£ 100,255","£ 100,255",£ 0,3,No,No,Standing Order,,06/03/2023,05/06/2023,,, B. Nokes (vendor no: 19094)
7213,Cyborg Maintenance Services Agreement,Directorate of Corporate Services,Information and Communications Technology ,ICT Management,ICT / Services,No,No,Yes,No,,,Goods/Service,Expenditure,"£ 105,062","£ 106,000",(£ 938),12,No,No,,G-Cloud 13,01/03/2023,29/02/2024,,, SumTotal Systems UK Limited (vendor no: 13368)
7167,Institute of Leadership & Management (ILM) Level 7 Certificate for Executive & Senior Level Coaches & Mentors Programme ,People Directorate,People Services,Leadership Development,Professional Services  / Development and Training,No,No,Yes,No,,,Goods/Service,Expenditure,"£ 2,250","£ 2,250",£ 0,0,No,No,,,01/03/2023,31/05/2023,,," Advanced Coaching Academy  (vendor no: N/A), Advanced Coaching Academy  (vendor no: N/A)"
7176,Cisco DNA ,Directorate of Corporate Services,Information and Communications Technology ,Network,ICT / Software,No,No,Yes,No,,,Goods/Service,Expenditure,"£ 14,000","£ 11,000","£ 3,000",12,No,No,,,27/02/2023,26/02/2024,,, Intuitive Systems & Networks Ltd (ISN) (vendor no: N/A)
6860,Lewisham Fire Station Provision of Motorised Yard Gates,Directorate of Corporate Services,Property and TSS,Property Major Projects,Construction and FM / Industrial Goods,No,No,Yes,No,,,Works,Expenditure,"£ 110,000","£ 120,000","(£ 10,000)",2,No,No,Delegated Authority,,27/02/2023,26/04/2023,,, securafit (vendor no: N/A)
6864,Leyton Fire Station Provision of Motorised Yard Gates,Directorate of Corporate Services,Property and TSS,Property Major Projects,Construction and FM / Industrial Goods,No,No,Yes,No,,,Works,Expenditure,"£ 55,000","£ 120,000","(£ 65,000)",3,No,No,Delegated Authority,,27/02/2023,26/05/2023,,, securafit (vendor no: N/A)
6865,Tooting Fire Station Provision of Motorised Yard Gates,Directorate of Corporate Services,Property and TSS,Property Major Projects,Construction and FM / Industrial Goods,No,No,Yes,No,,,Works,Expenditure,"£ 79,000","£ 120,000","(£ 41,000)",2,No,No,Delegated Authority,,27/02/2023,26/04/2023,,, securafit (vendor no: N/A)
6923,"North Kensington fire station, Privacy for All works  ",Directorate of Corporate Services,Property and TSS,Property Access & Workplace,Construction and FM / Building Operations,No,No,Yes,No,,,Works,Expenditure,"£ 580,635","£ 500,000","£ 80,635",3,No,No,Committee Decision,,20/02/2023,,,, B Nokes Contracts (vendor no: 19094)
6995,"Harrow fire station, Privacy for All works to ground and first floor dorms and showers",Directorate of Corporate Services,Property and TSS,Property Access & Workplace,Construction and FM / Property Occupation,No,No,Yes,No,,,Works,Expenditure,"£ 196,178","£ 175,000","£ 21,178",3,No,No,Committee Decision,,08/02/2023,05/04/2023,,, Woodnut Construction and Developments Ltd (vendor no: 21961)
6906,ERITH BREATHING APPARATUS CHAMBER REFURBISHMENT,Directorate of Corporate Services,Property and TSS,Property Major Projects,Construction and FM / Building Operations,No,No,Yes,No,,,Goods/Service,Expenditure,"£ 449,342","£ 20,000","£ 429,342",18,No,No,Delegated Authority,MDC FRAMEWORK AGREEMENT,06/02/2023,05/08/2024,,, Collins Contractors Ltd (vendor no: 2155)
6849,Corporate Gazetteer Replacement,Directorate of Corporate Services,Information and Communications Technology ,Technical Projects,ICT / Software,Yes,Yes,Yes,No,,,Goods/Service,Expenditure,"£ 123,913","£ 90,000","£ 33,913",24,No,No,Budget Holder Approval,,01/02/2023,31/01/2025,,, Bramble Hub (vendor no: N/A)
7172,Finance System Maintenance ,Directorate of Corporate Services,Information and Communications Technology ,ICT Management,ICT / Services,Yes,No,Yes,Yes,,,Goods/Service,Expenditure,"£ 130,000","£ 130,000",£ 0,12,No,No,,G-Cloud 12,01/02/2023,31/01/2024,,, Infor Limited (vendor no: N/A)
7100,LED Energy efficient lighting project Sutton and Clapham,Directorate of Corporate Services,Property and TSS,Property Major Projects,Construction and FM / Engineering Products and Equipment,No,No,Yes,No,,,Works,Expenditure,"£ 95,883","£ 120,000","(£ 24,117)",1,No,No,Delegated Authority,LCP ,01/02/2023,28/02/2023,,, Lindfield Electrical  (vendor no: N/A)
7015,Library Management System ,Directorate of Corporate Services,Information and Communications Technology ,ICT Management,ICT / Software,Yes,No,Yes,Yes,,,Goods/Service,Expenditure,"£ 6,390","£ 40,000","(£ 33,610)",60,No,No,Budget Holder Approval,G-Cloud 12,01/02/2023,31/01/2025,,, PTFS Europe Ltd (vendor no: 20653)
7139,Kensington Windows Refurbishment,Commissioner,Directorate of Corporate Services,Property Major Projects,Construction and FM / Property Occupation,No,No,Yes,No,,,Works,Expenditure,"£ 287,633","£ 195,000","£ 92,633",16,No,No,,,30/01/2023,29/05/2024,,, Collins Contractors Ltd (vendor no: 2155)
7146,Whitechapel Appliance Bay Doors,Commissioner,Directorate of Corporate Services,Property Major Projects,Construction and FM / Building Operations,No,No,Yes,No,,,Works,Expenditure,"£ 77,001","£ 95,000","(£ 17,999)",4,No,No,,,30/01/2023,29/05/2023,,, ARKAS Ltd (vendor no: N/A)
6896,Mobile Communications,Directorate of Corporate Services,Information and Communications Technology ,ICT Management,ICT / Communication,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£ 3,000,000","£ 3,000,000",£ 0,60,No,No,,CCS Network Services 2,27/01/2023,26/01/2025,,, Telefonica UK Ltd (vendor no: 22499)
7180,Engagement of Gatenby Sanderson,Commissioner,People Directorate,Employee Advice & Insights,Professional Services  / HR Services,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£ 25,000","£ 25,000",£ 0,0,No,No,,,25/01/2023,24/01/2023,,, Gatenby Sanderson (vendor no: N/A)
7158,CRF Learning,People Directorate,People Services,"People Strat, Work Plan & Data",Professional Services  / Development and Training,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£ 39,750","£ 39,750",£ 0,24,No,No,,,24/01/2023,23/01/2025,,, CRF (vendor no: 22043)
