Geo Point,Geo Shape,Batch_ID,TargetStartDate,TargetDeliveryDate,OperationalArea,DNO,Status,days_outstanding,rag_status,PVC Date,days_since_pvc_date
"51.44760041861913, 0.09528665952698749","{""coordinates"": [[[0.099127057228818, 51.43718957843122], [0.099333074767884, 51.441682337363524], [0.092143980867994, 51.44181088293482], [0.08495483383691, 51.441938987914746], [0.085159495641982, 51.44643178382136], [0.077969591110929, 51.44655946861283], [0.07817360115069, 51.45105228088419], [0.085364210414395, 51.450924575678236], [0.092554766692641, 51.45079642973264], [0.092760239347074, 51.455289197050824], [0.092965765187123, 51.459781960315084], [0.100157678236825, 51.45965333251504], [0.099951447336265, 51.45516058981399], [0.0997452698034, 51.450667843055], [0.106935719564654, 51.45053881565294], [0.106728890703065, 51.44604608546161], [0.106522115354685, 51.44155335120846], [0.106315393501253, 51.43706061289361], [0.099127057228818, 51.43718957843122]]], ""type"": ""Polygon""}",SE-0012,2026-01-05,2026-03-09,South East,LPN,Complete,-20,Complete,,
"51.58448977190407, 0.12089930772595076","{""coordinates"": [[[0.112748728482402, 51.57633361159138], [0.112957117211383, 51.580826223955384], [0.120168028002045, 51.58069615389247], [0.12037718094326, 51.58518874137449], [0.113165560005551, 51.58531883225516], [0.11337405688344, 51.589811436490635], [0.106161671512519, 51.58994110528928], [0.106369511959266, 51.59443372621555], [0.106577406342819, 51.59892634308142], [0.106785354681675, 51.60341895588684], [0.113999872204899, 51.60328922481045], [0.121214335570152, 51.60315905061783], [0.128428744593308, 51.60302843331671], [0.128218663605768, 51.59853588301367], [0.128008637125716, 51.59404332863789], [0.135221570115524, 51.59391231018339], [0.135010887646711, 51.589419772702435], [0.134800259831941, 51.584927231144775], [0.134589686652486, 51.58043468551051], [0.134379168089623, 51.57594213579975], [0.134168704124641, 51.57144958201253], [0.133958294738832, 51.56695702414898], [0.126749621856893, 51.5670879168603], [0.119540894598049, 51.567218367036915], [0.112332113145914, 51.56734837467103], [0.105123277684108, 51.56747793975492], [0.105330848723968, 51.57197058098193], [0.105538473608282, 51.57646321814895], [0.112748728482402, 51.57633361159138]]], ""type"": ""Polygon""}",NE-0040,2026-01-19,2026-03-23,North East,LPN,In Progress,-6,Within 7 Days of the Target Delivery Date,,
"51.586815609000546, -0.015483069378834171","{""coordinates"": [[[-0.02406025060732, 51.58321342162641], [-0.02386530405674, 51.587706412019465], [-0.01665268697985, 51.58758473626301], [-0.01645697916829, 51.592077703189744], [-0.009243702208915, 51.5919555649174], [-0.009440120675533, 51.587462617538485], [-0.009636488185581, 51.58296966616261], [-0.016848344018864, 51.58309176534317], [-0.02406025060732, 51.58321342162641]]], ""type"": ""Polygon""}",NE-0045,2026-01-19,2026-03-23,North East,LPN,In Progress,-6,Within 7 Days of the Target Delivery Date,,
"51.593981947296804, 0.059427545620065456","{""coordinates"": [[[0.03383420062146, 51.5867206032707], [0.034034882649288, 51.59121343187594], [0.041247798924762, 51.5910881925366], [0.041449243746444, 51.5955809970742], [0.048662818456991, 51.5954552946368], [0.055876340703072, 51.59532914915618], [0.063089810300611, 51.59520256063981], [0.063293439993457, 51.59969530057451], [0.063497122537002, 51.60418803647289], [0.070711961140952, 51.604060964255396], [0.077926746691861, 51.60393344887568], [0.085141479005551, 51.60380549034132], [0.084935663481926, 51.59931281567078], [0.077721642143363, 51.599440753725034], [0.0775165908138, 51.5949480545301], [0.077311592684927, 51.590455351290956], [0.070098939561884, 51.59058280545485], [0.062886233440345, 51.590709816668905], [0.055673474504307, 51.590836384925574], [0.055470660936006, 51.5863436166628], [0.048258559865009, 51.586469721769596], [0.041046406365508, 51.586595383974725], [0.040845066050769, 51.582102571388646], [0.03363357065418, 51.58222777064518], [0.03383420062146, 51.5867206032707]]], ""type"": ""Polygon""}",NE-0046,2026-01-27,2026-03-30,North East,LPN,In Progress,1,In progress and on target,,
"51.437038342558616, 0.0026525972442726824","{""coordinates"": [[[-0.016088143261398, 51.43470002884338], [-0.015893447569203, 51.439193112086684], [-0.008704280403133, 51.43907119566359], [-0.001515163803583, 51.43894883861556], [-0.001319008547994, 51.44344187880892], [-0.001122802526637, 51.44793491499953], [0.006067672633384, 51.44781207806409], [0.005870761866554, 51.44331906151025], [0.013060481333302, 51.443195803530806], [0.012862916968166, 51.43870280267367], [0.020051880776493, 51.43857912379439], [0.019853663176969, 51.43408613869661], [0.012665403715344, 51.434209797806126], [0.01246794155739, 51.42971678892826], [0.00528033518314, 51.42983998780941], [-0.001907322086764, 51.42996274622076], [-0.009095030070505, 51.430085064155065], [-0.008899680511435, 51.43457813190875], [-0.016088143261398, 51.43470002884338]]], ""type"": ""Polygon""}",SE-0043,2026-01-27,2026-03-30,South East,LPN,Planned,1,Not yet started,,
"51.513263533034774, -0.14598894528565343","{""coordinates"": [[[-0.142571034160741, 51.5087131113373], [-0.149771720380947, 51.50882692724617], [-0.14958965905055, 51.51332030459496], [-0.149407550536975, 51.517813678017866], [-0.142205448826876, 51.517699825688084], [-0.142388265176949, 51.51320647047741], [-0.142571034160741, 51.5087131113373]]], ""type"": ""Polygon""}",CE-0008,2026-02-02,2026-04-07,Central,LPN,In Progress,9,In progress and on target,,
"51.54504848250053, 0.12716304750557791","{""coordinates"": [[[0.118288090507363, 51.54026268349037], [0.118496755876011, 51.5447553075842], [0.118705475345202, 51.54924792761036], [0.111499530440686, 51.5493778520632], [0.111707595167255, 51.55387048881085], [0.118914248933462, 51.553740543568814], [0.126120848562034, 51.553610155996275], [0.133327393869548, 51.553479326101055], [0.133117202613573, 51.54898675193294], [0.132907065843385, 51.544494173688925], [0.140112139217972, 51.5443629434769], [0.139901348475647, 51.53987038214993], [0.139690612365034, 51.5353778167431], [0.132486955685768, 51.53550900497344], [0.125283244576613, 51.535639751171324], [0.125492564156493, 51.540132358485124], [0.118288090507363, 51.54026268349037]]], ""type"": ""Polygon""}",NE-0042,2026-02-02,2026-04-07,North East,LPN,In Progress,9,In progress and on target,,
"51.5623628406934, 0.08582162808373821","{""coordinates"": [[[0.075673520692206, 51.55451357979442], [0.075878093871352, 51.55900631538472], [0.076082720105536, 51.56349904693138], [0.076287399412936, 51.56799177443434], [0.083496449077026, 51.567863979628235], [0.090705445466021, 51.56773574224119], [0.097914388396264, 51.567607062280864], [0.097707580631529, 51.56311439633388], [0.097500826490791, 51.558621726331126], [0.09029330231194, 51.558750365116765], [0.083085724710949, 51.558878561470486], [0.082880442394899, 51.55438584632015], [0.075673520692206, 51.55451357979442]]], ""type"": ""Polygon""}",NE-0039,2026-02-09,2026-04-14,North East,LPN,In Progress,16,In progress and on target,,
"51.54674699462029, 0.06991163331611691","{""coordinates"": [[[0.060853366649453, 51.54578215498298], [0.068058976446523, 51.54565534685444], [0.068262734781924, 51.550148110893076], [0.068466545952613, 51.554640870892214], [0.075673520692206, 51.55451357979442], [0.07546900054993, 51.55002084016054], [0.075264533426365, 51.54552809648317], [0.075060119303359, 51.5410353487624], [0.067855270928322, 51.54116257877638], [0.060650369754136, 51.541289366618265], [0.060853366649453, 51.54578215498298]]], ""type"": ""Polygon""}",NE-0059,2026-02-09,2026-04-14,North East,LPN,In Progress,16,In progress and on target,,
"51.449939876018995, 0.18067049586156045","{""coordinates"": [[[0.171647336659338, 51.449357737706194], [0.164457375233062, 51.449490731280704], [0.16466989584443, 51.45398328984157], [0.17186056196414, 51.45385027500446], [0.172073842456972, 51.45834280820391], [0.179265158245202, 51.458209331312666], [0.186456418644475, 51.45807541364191], [0.193647623472754, 51.4579410551996], [0.193432228466982, 51.45344858622233], [0.19321688919517, 51.44895611313368], [0.19300160563829, 51.44446363593371], [0.185812514720253, 51.44459792995543], [0.185597991132265, 51.44010542717912], [0.17840954899205, 51.44023925924538], [0.17122105153847, 51.44037265081339], [0.171434166523726, 51.44486519630913], [0.171647336659338, 51.449357737706194]]], ""type"": ""Polygon""}",SE-0046,2026-01-27,2026-03-30,South East,LPN,In Progress,1,In progress and on target,,
